ensembl_gene_id,entrezgene_id,external_gene_name,uniprot_gn_symbol
ENSG00000121766,51538,ZCCHC17,ZCCHC17
ENSG00000121769,2170,FABP3,FABP3
ENSG00000121774,10657,KHDRBS1,KHDRBS1
ENSG00000121775,55116,TMEM39B,TMEM39B
ENSG00000121851,84265,POLR3GL,POLR3GL
ENSG00000121900,113452,TMEM54,TMEM54
ENSG00000121903,7579,ZSCAN20,ZSCAN20
ENSG00000121904,114784,CSMD2,CSMD2
ENSG00000121905,3208,HPCA,HPCA
ENSG00000121931,55791,LRIF1,LRIF1
ENSG00000121933,57413,TMIGD3,TMIGD3
ENSG00000121940,23155,CLCC1,CLCC1
ENSG00000121957,29899,GPSM2,GPSM2
ENSG00000122176,2331,FMOD,FMOD
ENSG00000122180,4656,MYOG,MYOG
ENSG00000122188,54900,LAX1,LAX1
ENSG00000122218,1314,COPA,COPA
ENSG00000122223,51744,CD244,CD244
ENSG00000122224,4063,LY9,LY9
ENSG00000122406,6125,RPL5,RPL5
ENSG00000122417,57489,ODF2L,ODF2L
ENSG00000122420,5737,PTGFR,PTGFR
ENSG00000122432,100505741,SPATA1,SPATA1
ENSG00000122435,54482,TRMT13,TRMT13
ENSG00000122477,127495,LRRC39,LRRC39
ENSG00000122481,25950,RWDD3,RWDD3
ENSG00000122482,84146,ZNF644,ZNF644
ENSG00000122483,343099,CCDC18,CCDC18
ENSG00000122484,79871,RPAP2,RPAP2
ENSG00000123080,1031,CDKN2C,CDKN2C
ENSG00000123091,26994,RNF11,RNF11
ENSG00000123472,64756,ATPAF1,ATPAF1
ENSG00000123473,6491,STIL,STIL
ENSG00000123684,9926,LPGAT1,LPGAT1
ENSG00000123685,55509,BATF3,BATF3
ENSG00000123689,50486,G0S2,G0S2
ENSG00000123836,5208,PFKFB2,PFKFB2
ENSG00000123838,722,C4BPA,C4BPA
ENSG00000123843,725,C4BPB,C4BPB
ENSG00000125459,55154,MSTO1,MSTO1
ENSG00000125462,10485,MIR9-1HG,NA
ENSG00000125703,84938,ATG4C,ATG4C
ENSG00000125944,10236,HNRNPR,HNRNPR
ENSG00000125945,80818,ZNF436,ZNF436
ENSG00000126067,5690,PSMB2,PSMB2
ENSG00000126070,192669,AGO3,AGO3
ENSG00000126088,7389,UROD,UROD
ENSG00000126091,6487,ST3GAL3,ST3GAL3
ENSG00000126106,79639,TMEM53,TMEM53
ENSG00000126107,79654,HECTD3,HECTD3
ENSG00000126698,22826,DNAJC8,DNAJC8
ENSG00000126705,27245,AHDC1,AHDC1
ENSG00000126709,2537,IFI6,IFI6
ENSG00000127054,54973,INTS11,INTS11
ENSG00000127074,6003,RGS13,RGS13
ENSG00000127124,59269,HIVEP3,HIVEP3
ENSG00000127125,79717,PPCS,PPCS
ENSG00000127129,1907,EDN2,EDN2
ENSG00000127423,79000,AUNIP,AUNIP
ENSG00000127463,23065,EMC1,EMC1
ENSG00000127472,5322,PLA2G5,PLA2G5
ENSG00000127481,23352,UBR4,UBR4
ENSG00000127483,50809,HP1BP3,HP1BP3
ENSG00000127603,23499,MACF1,MACF1
ENSG00000130695,64793,CEP85,CEP85
ENSG00000130762,27237,ARHGEF16,ARHGEF16
ENSG00000130764,57470,LRRC47,LRRC47
ENSG00000130766,83667,SESN2,SESN2
ENSG00000130768,27293,SMPDL3B,SMPDL3B
ENSG00000130770,93974,ATP5IF1,ATP5IF1
ENSG00000130772,54797,MED18,MED18
ENSG00000130775,9473,THEMIS2,THEMIS2
ENSG00000130939,10277,UBE4B,UBE4B
ENSG00000130940,54897,CASZ1,CASZ1
ENSG00000131233,81025,GJA9,CXNM
ENSG00000131236,10487,CAP1,CAP1
ENSG00000131238,5538,PPT1,PPT1
ENSG00000131584,116983,ACAP3,ACAP3
ENSG00000131591,54991,C1orf159,C1orf159
ENSG00000131686,765,CA6,CA6
ENSG00000131697,261734,NPHP4,NPHP4
ENSG00000131778,9557,CHD1L,CHD1L
ENSG00000131779,8799,PEX11B,PEX11B
ENSG00000131781,2330,FMO5,FMO5
ENSG00000131788,10401,PIAS3,PIAS3
ENSG00000131791,5565,PRKAB2,PRKAB2
ENSG00000131910,8431,NR0B2,NR0B2
ENSG00000131914,79727,LIN28A,LIN28A
ENSG00000132122,54558,SPATA6,SPATA6
ENSG00000132128,10489,LRRC41,LRRC41
ENSG00000132185,84824,FCRLA,FCRLA
ENSG00000132196,51478,HSD17B7,HSD17B7
ENSG00000132485,9406,ZRANB2,ZRANB2
ENSG00000132676,7818,DAP3,DAP3
ENSG00000132677,57127,RHBG,RHBG
ENSG00000132680,22889,KHDC4,KHDC4
ENSG00000132681,480,ATP1A4,ATP1A4
ENSG00000132688,10763,NES,NES
ENSG00000132692,63827,BCAN,BCAN
ENSG00000132693,1401,CRP,CRP
ENSG00000132694,9826,ARHGEF11,ARHGEF11
ENSG00000132698,57111,RAB25,RAB25
ENSG00000132702,60484,HAPLN2,HAPLN2
ENSG00000132703,325,APCS,APCS
ENSG00000132704,79368,FCRL2,FCRL2
ENSG00000132716,50717,DCAF8,DCAF8
ENSG00000132718,23208,SYT11,SYT11
ENSG00000132763,25974,MMACHC,MMACHC
ENSG00000132768,1802,DPH2,DPH2
ENSG00000132773,114034,TOE1,TOE1
ENSG00000132780,4678,NASP,NASP
ENSG00000132781,4595,MUTYH,MUTYH
ENSG00000132849,10207,PATJ,PATJ
ENSG00000132854,163782,KANK4,KANK4
ENSG00000132855,27329,ANGPTL3,ANGPTL3
ENSG00000132879,93611,FBXO44,FBXO44
ENSG00000132881,79363,CPLANE2,CPLANE2
ENSG00000132906,842,CASP9,CASP9
ENSG00000133048,1116,CHI3L1,CHI3L1
ENSG00000133055,4608,MYBPH,MYBPH
ENSG00000133056,5287,PIK3C2B,PIK3C2B
ENSG00000133059,25778,DSTYK,DSTYK
ENSG00000133063,1118,CHIT1,CHIT1
ENSG00000133065,254428,SLC41A1,SLC41A1
ENSG00000133067,59352,LGR6,LGR6
ENSG00000133069,9911,TMCC2,TMCC2
ENSG00000133216,2048,EPHB2,EPHB2
ENSG00000133226,10250,SRRM1,SRRM1
ENSG00000134183,2780,GNAT2,GNAT2
ENSG00000134184,2944,GSTM1,GSTM1
ENSG00000134186,55119,PRPF38B,PRPF38B
ENSG00000134193,83998,REG4,REG4
ENSG00000134198,10100,TSPAN2,TSPAN2
ENSG00000134200,7252,TSHB,TSHB
ENSG00000134201,2949,GSTM5,GSTM5
ENSG00000134202,2947,GSTM3,GSTM3
ENSG00000134207,148281,SYT6,SYT6
ENSG00000134215,10451,VAV3,VAV3
